Count,Name,1A1-1,S1-1,S1-1B,Visibility,WATT,WATTB,ADDRESS1,ADDRESS2,DESC2,DESCBRD1,DESCBRD2,DESCBRD3,DESCBRD4,DESCBRD5,DEVICEA,DEVICEB,DEVICEC,DEVICED,DEVICEE,DEVICEE(1),DEVICEF,DEVICEH,DEVICEJ,DEVICEY,BPS,DESC1,Visibility1,Position X1,Position Y1,Position1 X,Position1 Y,Subject,Position2 X,Position2 Y
1,FPS CAV 4-22,1E1-1,1S7-26,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-0'-2""","-1'-10 1/2""",,,,,
1,FPS CAV 4-22,1D1-1,1S5-1,,SV - 115cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-3'-9 1/4""","0'-9 1/4""","2'-0""","1'-1""",,,
1,FPS CAV 4-22,1C1-15 EOL,1S3-23 EOL,,SV - 15cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"1'-3 3/8""","-1'-9 5/8""",,,,,
1,FPS CAV 4-22,1C1-14,1S3-22,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"1'-11 5/8""","2'-9""",,,,,
1,FPS CAV 4-22,1C1-1,1S3-1,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"2'-1""","-1'-6 3/4""",,,,,
1,FPS CAV 4-22,1C1-9,1S3-17,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-0'-9 5/8""","-1'-7 7/8""",,,,,
1,FPS CAV 4-22,1E3-1,1S5-11,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"2'-4 1/8""","-0'-3 7/8""",,,,,
1,FPS CAV 4-22,1D1-10,1S5-10,,SV - 15cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-1'-6""","-1'-11 1/4""",,,,,
1,FPS CAV 4-22,1D1-7,1S5-7,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"0'-2""","-1'-8 1/4""",,,,,
1,FPS CAV 4-22,1E3-4,1S5-14,,SV - 177cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-0'-5 3/4""","3'-3 1/4""","2'-0""","1'-1""",,,
1,FPS CAV 4-22,1E3-6,1S5-16,,SV - 75cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"2'-10 7/8""","1'-11 3/8""",,,,,
1,FPS CAV 4-22,1E3-5,1S5-15,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-3'-3""","1'-4 1/8""",,,,,
1,FPS CAV 4-22,1E3-3,1S5-13,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-1'-2 1/4""","4'-0 3/8""",,,,,
1,FPS CAV 4-22,1C1-6,1S3-11,,SV - 15cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"2'-4""","-0'-11 1/2""",,,,,
1,FPS CAV 4-22,1C1-8,1S3-13,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-1'-0 7/8""","-1'-7 3/8""",,,,,
1,FPS CAV 4-22,1C1-5,1S3-7,,SV - 15cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"1'-3 5/8""","-1'-9 3/8""",,,,,
1,FPS CAV 4-22,1D1-2,1S5-2,,SV - 75cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-1'-11 5/8""","-2'-0 1/8""",,,,,
1,FPS CAV 4-22,1D1-9,1S5-9,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"0'-5 3/8""","3'-1 1/2""",,,,,
1,FPS CAV 4-22,1D1-5,1S5-5,,SV - 75cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"1'-9 5/8""","-1'-8 7/8""",,,,,
1,FPS CAV 4-22,1D1-4,1S5-4,,SV - 75cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-1'-1 1/2""","3'-7 1/2""",,,,,
1,FPS CAV 4-22,1B1-4,1S1-16,,SV - 177cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-1'-0 1/8""","-2'-1 1/4""","2'-0""","1'-1""",,,
1,FPS SENSOR 4-21,,,,Smoke w/ Sounder Base,,,0030060033,,,,,,,,,,SIGA-PS W SOUNDER BASE,,,,,,,,,,,"0'-9 1/4""","-1'-7 7/8""",,,,,
1,FPS CAV 4-22,1B1-6,1S1-18,,SV - 115cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-1'-3 3/8""","3'-0 5/8""","2'-0""","1'-1""",,,
1,FPS SENSOR 4-21,,,,Smoke w/ Sounder Base,,,0030060038,,,,,,,,,,SIGA-PS W SOUNDER BASE,,,,,,,,,,,"-1'-6 3/4""","-1'-6 5/8""",,,,,
1,FPS SENSOR 4-21,,,,Smoke w/ Sounder Base,,,0030060040,,,,,,,,,,SIGA-PS W SOUNDER BASE,,,,,,,,,,,"-3'-6 7/8""","0'-10 1/8""",,,,,
1,FPS SENSOR 4-21,,,,Heat,,,0030060039,,,,,,,,,,,,,,SIGA-HRS,,,,,,,"-3'-10 1/8""","0'-11 3/8""",,,,,
1,FPS CAV 4-22,1B1-1,1S1-13,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"2'-4 1/2""","0'-0""",,,,,
1,FPS SENSOR 4-21,,,,Smoke w/ Sounder Base,,,0030060035,,,,,,,,,,SIGA-PS W SOUNDER BASE,,,,,,,,,,,"-4'-6""","-2'-1 3/4""",,,,,
1,FPS CAV 4-22,1B1-8 EOL,1S1-20 EOL,,SV - 177cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"0'-3 5/8""","3'-3 3/8""","2'-0""","1'-1""",,,
1,FPS PANELS 4-21,,,,BPS,,,,,,,,,,,,,,,,,,,,,APS1G,,,,,,,,,
1,FPS SENSOR 4-21,,,,Heat,,,0030060034,,,,,,,,,,,,,,SIGA-HRS,,,,,,,"0'-0 1/2""","1'-0 5/8""",,,,,
1,FPS SENSOR 4-21,,,,Smoke w/ Sounder Base,,,0030060037,,,,,,,,,,SIGA-PS W SOUNDER BASE,,,,,,,,,,,"-3'-0 1/4""","1'-2 3/8""",,,,,
1,FPS CAV 4-22,1B1-3,1S1-15,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-1'-9 1/8""","-2'-7 1/4""",,,,,
1,FPS CAV 4-22,1B1-5,1S1-17,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"2'-5 7/8""","2'-3 3/8""",,,,,
1,FPS CAV 4-22,1A4-2,1S1-7,,SV - 177cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-0'-3 7/8""","-2'-2 1/4""","2'-0""","1'-1""",,,
1,FPS CAV 4-22,1F1-6,1S7-6,,SV - 15cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-0'-9 1/2""","-1'-7 5/8""",,,,,
1,FPS CAV 4-22,1A1-3,1S1-3,,SV - 15cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"1'-3 3/4""","-1'-9 3/4""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0030060004,,,,,,,,SIGA-PS,,,,,,,,,,,,,"0'-5 1/4""","-1'-3 1/4""",,,,,
1,FPS CAV 4-22,1F1-5,1S7-7,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-3'-3 5/8""","-0'-5 1/4""",,,,,
1,FPS CAV 4-22,1F1-4,1S7-2,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-2'-3""","-0'-5 1/8""",,,,,
1,FPS CAV 4-22,1F1-7,1S7-5,,SV - 15cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"2'-8 5/8""","2'-3 1/4""",,,,,
1,FPS CAV 4-22,,,1S7-8,Speaker,,1/4w,,,,,,,,,,,,,,,,,,,,,,"-1'-5 5/8""","-1'-9""",,,,,
1,FPS CAV 4-22,1A1-5,1S1-6,,SV - 15cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"1'-4 1/2""","-1'-7 3/4""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0030060032,,,,,,,,SIGA-PS,,,,,,,,,,,,,"0'-10 7/8""","-0'-4""",,,,,
1,FPS CAV 4-22,1A1-7,,,V - 15cd,,,,,,,,,,,,,,,,,,,,,,,,"-2'-4 1/2""","-1'-5""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0030060041,,,,,,,,SIGA-PS,,,,,,,,,,,,,"-0'-11 3/4""","-1'-4 3/8""",,,,,
